collectionDate,dataType,compressed,uncompressed
2014-12-01,app_stats,6912,11185
2014-12-01,capture_loss,37324,101649
2014-12-01,communication,9111979,49151065
2014-12-01,conn,17817454529,50308969806
2014-12-01,conn-summary,70000,311234
2014-12-01,dhcp,2137132,12855194
2014-12-01,dnp3,5682,13369
2014-12-01,dns,4561675787,31334128911
2014-12-01,dpd,18263500,73882638
2014-12-01,files,11702346246,34441455020
2014-12-01,ftp,3660373,30604333
2014-12-01,http,21345550376,66335802482
2014-12-01,irc,20217,97030
2014-12-01,known_certs,71489,521867
2014-12-01,known_hosts,673202,2581857
2014-12-01,known_services,1646124,7852778
2014-12-01,loaded_scripts,6210,54213
2014-12-01,modbus,6741189,85875994
2014-12-01,notice,4608991,30118997
2014-12-01,packet_filter,496,642
2014-12-01,radius,212152,1431974
2014-12-01,reporter,264098,3750588
2014-12-01,smtp,29373572,145292985
2014-12-01,snmp,336366009,1276655889
2014-12-01,socks,6336,11558
2014-12-01,software,123250405,1484988857
2014-12-01,ssh,4883911,26338230
2014-12-01,ssl,3423834881,12787129835
2014-12-01,syslog,1456056352,35477761040
2014-12-01,traceroute,389040,1909711
2014-12-01,tunnel,19213843,69218982
2014-12-01,weird,430685556,1711591157
2014-12-01,x509,1805062572,14665981836
2014-12-02,app_stats,7031,11325
2014-12-02,capture_loss,47347,131882
2014-12-02,communication,11456654,59347462
2014-12-02,conn,18470218975,51248047292
2014-12-02,conn-summary,67892,307875
2014-12-02,dnp3,4582,8050
2014-12-02,dns,4941444243,44783222470
2014-12-02,dpd,18498921,79373189
2014-12-02,files,11620128693,34232448493
2014-12-02,ftp,9008260,103627416
2014-12-02,http,21678428110,68399260221
2014-12-02,irc,21809,97927
2014-12-02,known_certs,80910,548571
2014-12-02,known_hosts,668332,2612115
2014-12-02,known_services,1590054,7459670
2014-12-02,loaded_scripts,2070,18071
2014-12-02,modbus,1977827,23650899
2014-12-02,notice,4845508,32567480
2014-12-02,packet_filter,165,214
2014-12-02,radius,159115,1053515
2014-12-02,reporter,419253,6364043
2014-12-02,smtp,89874130,591581670
2014-12-02,snmp,4815529,17696948
2014-12-02,socks,9613,20498
2014-12-02,software,115124984,1354571354
2014-12-02,ssh,77648941,362922147
2014-12-02,ssl,3501989139,13112225981
2014-12-02,syslog,7779675,129883845
2014-12-02,traceroute,374811,1982378
2014-12-02,tunnel,20698551,77348211
2014-12-02,weird,333307442,1245889561
2014-12-02,x509,1831651916,14935857298
2014-12-03,app_stats,6852,11092
2014-12-03,capture_loss,49651,141068
2014-12-03,communication,11957715,61138058
2014-12-03,conn,17438737645,48678365501
2014-12-03,conn-summary,69994,318754
2014-12-03,dnp3,1692,3023
2014-12-03,dns,4113773395,31301111308
2014-12-03,dpd,22688908,97792412
2014-12-03,files,11995134752,35218037579
2014-12-03,ftp,3642132,29868765
2014-12-03,http,22739787099,71742065439
2014-12-03,irc,34107,180977
2014-12-03,known_certs,92438,653296
2014-12-03,known_hosts,611659,2387015
2014-12-03,known_services,1705774,8148718
2014-12-03,loaded_scripts,4143,36142
2014-12-03,modbus,1988373,23790683
2014-12-03,notice,4707620,31877126
2014-12-03,packet_filter,331,428
2014-12-03,radius,159255,1073755
2014-12-03,reporter,527305,8283690
2014-12-03,smtp,106438901,729124207
