term_desc,Year,Emplid,academic_organization_desc,subject,Catalog_Nbr,course_id,class_nbr,ssr_component,Primary_Component_Ind,Enrollment_Capacity,Total_Over_Capacity,Instruction_Mode_Desc,Instructor_Role
Winter,2018,0,Dept of Biological Sciences,BIOL,243,161577,11947,LAB,N,24,1,In Person,
Fall,2021,959240,Dept of Biological Sciences,CMMB,443,105376,77119,LAB,N,1,1,Web-Based Instruction,AL
Summer,2021,0,Dept of Physics & Astronomy,PHYS,223,132698,50250,LAB,N,26,0.538461538,Web-Based Instruction,
Fall,2018,4238070,Department of Geoscience,GLGY,601,122334,73164,LAB,N,2,1,In Person,PI
Winter,2018,30024875,Dept of Math & Stats,MATH,249,125996,10031,LAB,N,35,0.771428571,In Person,PI
Summer,2018,0,Dept of Physics & Astronomy,PHYS,223,132698,50440,LAB,N,24,0.833333333,In Person,
Winter,2018,4112039,Dept of Biological Sciences,CMMB,523,105592,14542,LEC,Y,40,0.525,In Person,AL
Winter,2019,0,Dept of Math & Stats,MATH,267,162783,12534,LAB,N,66,1,In Person,
Fall,2020,4253595,Dept of Biological Sciences,ECOL,528A,150503,76077,LAB,Y,1,6,In Person,PI
Fall,2019,10168362,Dept of Math & Stats,BIST,600,164074,76608,SEM,Y,10,0.4,In Person,PI
Fall,2020,0,Dept of Chemistry,CHEM,351,104832,70182,LAB,N,20,1,Web-Based Instruction,
Winter,2020,10009906,Dept of Biological Sciences,CMMB,507,150052,24740,LAB,Y,30,0.466666667,Independent Study,AL
Fall,2020,30124474,Dept of Computer Science,CPSC,203,107154,76169,TUT,N,26,0.961538462,Web-Based Instruction,TA
Fall,2021,4248363,Faculty of Science,NEUR,478,163007,72246,LEC,Y,19,1,In Person,PI
Winter,2022,10009021,Department of Geoscience,GLGY,698,160854,11087,LEC,Y,4,0.75,In Person,PI
Winter,2019,10181315,Dept of Biological Sciences,ZOOL,507,150488,16642,LAB,Y,1,1,Independent Study,AL
Winter,2020,30044760,Dept of Computer Science,CPSC,319,161617,22507,TUT,N,23,1,In Person,TA
Winter,2020,289476,Department of Geoscience,GLGY,510B,150233,25042,LAB,Y,1,1,Independent Study,PI
Fall,2020,30090208,Dept of Computer Science,CPSC,441,107225,70863,TUT,N,30,0.9,Web-Based Instruction,TA
Fall,2018,10180600,Department of Geoscience,GOPH,671,161306,74823,LEC,Y,15,0.8,In Person,PI
Fall,2020,0,Dept of Biological Sciences,ECOL,429,108947,70321,LAB,N,16,1,Web-Based Instruction,
Fall,2021,0,Dept of Physics & Astronomy,PHYS,221,132696,71335,LAB,N,9,1,Web-Based Instruction,
Fall,2017,0,Dept of Chemistry,CHEM,201,104793,71264,LAB,N,20,1,In Person,
Winter,2018,0,Dept of Chemistry,CHEM,201,104793,11614,TUT,N,100,0.55,In Person,
Winter,2019,0,Dept of Chemistry,CHEM,201,104793,11273,LAB,N,20,1,In Person,
Fall,2018,0,Department of Geoscience,GLGY,697,160853,75969,LAB,N,6,1.5,In Person,
Winter,2022,10041274,Department of Geoscience,GLGY,609,161308,15758,LAB,N,2,1,In Person,PI
Winter,2020,30072482,Dept of Math & Stats,STAT,217,139102,18629,LAB,N,29,1,In Person,PI
Winter,2019,30021515,Dept of Math & Stats,MATH,211,125983,10071,LAB,N,40,1,In Person,TA
Winter,2021,0,Dept of Computer Science,CPSC,457,107231,15640,TUT,N,28,0.75,Web-Based Instruction,
Winter,2021,0,Dept of Computer Science,CPSC,521,160862,14495,TUT,N,25,0.24,Web-Based Instruction,
Fall,2018,30052013,Dept of Computer Science,DATA,201,163972,75705,LAB,N,30,0.966666667,In Person,TA
Winter,2018,0,Dept of Math & Stats,MATH,277,162785,12878,LAB,N,77,0.974025974,In Person,PI
Fall,2020,10119264,Dept of Chemistry,NANS,301,161067,71121,LEC,Y,90,0.333333333,Web-Based Instruction,AL
Fall,2017,30048319,Dept of Math & Stats,MATH,273,160827,75056,TUT,N,60,0.45,In Person,PI
Fall,2017,0,Dept of Biological Sciences,BIOL,241,161654,71964,LAB,N,22,1,In Person,
Winter,2020,0,Dept of Chemistry,CHEM,203,104794,19648,LAB,N,20,1,In Person,
Fall,2017,0,Dept of Physics & Astronomy,PHYS,365,162994,73561,LAB,N,22,1.090909091,In Person,
